id,title,original_title,original_language,language_name,release_date,release_year,release_month,decade,genres,primary_genre,num_genres,popularity,vote_average,vote_count,rating_tier,popularity_tier,budget,revenue,has_budget_data,has_revenue_data,profit,roi,runtime,primary_country,production_countries,num_spoken_languages,production_companies,overview_length,gdp_per_capita_usd,population,popularity_norm,vote_average_norm,vote_count_norm,budget_norm,revenue_norm,runtime_norm
819,Sleepers,Sleepers,en,English,1996-10-18,1996,10,1990,Crime|Drama|Thriller,Crime,3,11.3906,7.596,4032,Good,High,44000000.0,165600000.0,True,True,121600000.0,2.7636363636363637,147.0,US,US,1,Propaganda Films|Baltimore Pictures,32,29967.7127181749,269394000,0.05087746787840801,0.7438297872340425,0.09687385962778251,0.06678797350353619,0.05664043919731726,0.563265306122449
4523,Enchanted,Enchanted,en,English,2007-11-20,2007,11,2000,Comedy|Family|Fantasy|Romance,Comedy,4,11.3897,6.8,5817,Good,High,85000000.0,340487652.0,True,True,255487652.0,3.0057370823529412,107.0,US,US,1,Walt Disney Pictures|Josephson Entertainment|Andalasia Productions|Right Coast,108,48050.227412195,301231207,0.05086464773083387,0.5744680851063829,0.14029923366986985,0.1290223474240876,0.11645755174675788,0.4
2567,The Aviator,The Aviator,en,English,2004-12-17,2004,12,2000,Drama,Drama,1,11.3873,7.216,5996,Good,High,110000000.0,213719942.0,True,True,103719942.0,0.9429085636363637,170.0,DE,DE|US|GB,1,Warner Bros. Pictures|Miramax|Initial Entertainment Group|Forward Pass|Appian Way|IMF|Intermedia|Intermedia Films,39,34566.7359143735,82516260,0.05083046067063616,0.6629787234042552,0.1446539350443985,0.1669701364000336,0.07309898245963149,0.6571428571428571
787723,13 Minutes,13 Minutes,en,English,2021-10-29,2021,10,2020,Action|Drama|Thriller,Action,3,11.3868,5.827,304,Mixed,High,,67413.0,False,True,,,109.0,US,US|CA,1,Elevated Films|Involving Pictures,82,71441.2319805947,332100166,0.05082333836642829,0.36744680851063827,0.006179296922515509,,2.3054985542990736e-05,0.40816326530612246
696806,The Adam Project,The Adam Project,en,English,2022-03-11,2022,3,2020,Adventure|Science Fiction|Comedy,Adventure,3,11.3843,6.985,5148,Good,High,116000000.0,,True,False,,,106.0,US,US,1,Skydance Media|Maximum Effort|21 Laps Entertainment,23,78008.6895811877,333996304,0.050787726845389014,0.6138297872340426,0.12402384138182702,0.17607760575426065,,0.39591836734693875
22803,Law Abiding Citizen,Law Abiding Citizen,en,English,2009-10-15,2009,10,2000,Drama|Crime|Thriller,Drama,3,11.3751,7.396,5846,Good,High,53000000.0,127900000.0,True,True,74900000.0,1.4132075471698113,109.0,GB,GB|US,1,The Film Department|Evil Twins|Warp Films|Overture Films|G-BASE,39,39009.3715547821,62276270,0.05065667644796444,0.7012765957446807,0.14100474394842477,0.08044917753487675,0.04374584591228698,0.40816326530612246
4233,Scream 2,Scream 2,en,English,1997-12-12,1997,12,1990,Horror|Mystery,Horror,2,11.3743,6.5,4889,Mixed,High,24000000.0,172363301.0,True,True,148363301.0,6.181804208333333,120.0,US,US,1,Dimension Films|Konrad Pictures|Craven-Maddalena Films,24,31459.1299691554,272657000,0.05064528076123187,0.5106382978723404,0.1177229047561124,0.036429742322779395,0.058953702212151175,0.4530612244897959
26466,Triangle,Triangle,en,English,2009-10-16,2009,10,2000,Horror,Horror,1,11.3544,6.91,3123,Good,High,12000000.0,1594955.0,True,True,-10405045.0,-0.8670870833333333,99.0,AU,AU|GB,1,Dan Films|Pictures in Paradise|Icon Productions|Creative Europe Media|UK Film Council|First Look Pictures,22,42954.8494884573,21691653,0.05036181305375915,0.5978723404255318,0.07475976158618174,0.01821480361432532,0.0005455226994899859,0.3673469387755102
5915,Into the Wild,Into the Wild,en,English,2007-09-21,2007,9,2000,Adventure|Drama,Adventure,2,11.3529,7.795,10336,Good,High,15000000.0,56255142.0,True,True,41255142.0,2.7503428,148.0,US,US,2,River Road Entertainment|Paramount Vantage|Linson Entertainment|Square One C.I.H.|Into the Wild,33,48050.227412195,301231207,0.05034044614113558,0.7861702127659573,0.2502371974212383,0.02276853829143884,0.019241036764442217,0.5673469387755102
5174,Rush Hour 3,Rush Hour 3,en,English,2007-08-08,2007,8,2000,Action|Comedy|Crime,Action,3,11.341,6.5,3849,Mixed,High,140000000.0,258097122.0,True,True,118097122.0,0.8435508714285714,90.0,US,US|DE|HK|FR,5,New Line Cinema|Roger Birnbaum Productions|Arthur Sarkissian Productions|Unlike Film Productions|JCST,66,48050.227412195,301231207,0.05017093530098857,0.5106382978723404,0.09242184649069456,0.2125074831711688,0.0882773826515832,0.3306122448979592
